,name,price,url,id,category_id
0,استند لوازم آرایشی مدل Ro01,470000,https://www.digikala.com/product/dkp-3782930/استند لوازم آرایشی مدل Ro01,3782930,6484
1,ست برس آرایشی مدل پاستیلی کد d8900 مجموعه 8 عددی,457000,https://www.digikala.com/product/dkp-8386988/ست برس آرایشی مدل پاستیلی کد d8900 مجموعه 8 عددی,8386988,6484
2,استند لوازم آرایشی نیازشاپ کد NS901,780000,https://www.digikala.com/product/dkp-2782073/استند لوازم آرایشی نیازشاپ کد NS901,2782073,6484
3,استند لوازم آرایشی مدل MD017,1125000,https://www.digikala.com/product/dkp-9089945/استند لوازم آرایشی مدل MD017,9089945,6484
4,استند لوازم آرایشی مدل CS03 مجموعه 3 عددی,1672000,https://www.digikala.com/product/dkp-2250486/استند لوازم آرایشی مدل CS03 مجموعه 3 عددی,2250486,6484
5,پد آرایشی بیوتی بلندر مدل micro mini مجموعه 5 عددی,329000,https://www.digikala.com/product/dkp-1036769/پد آرایشی بیوتی بلندر مدل micro mini مجموعه 5 عددی,1036769,6484
6,استند لوازم آرایشی مدل BH9804,320000,https://www.digikala.com/product/dkp-1768109/استند لوازم آرایشی مدل BH9804,1768109,6484
7,استند لوازم آرایشی مدل 06,4200000,https://www.digikala.com/product/dkp-3257807/استند لوازم آرایشی مدل 06,3257807,6484
8,استند لوازم آرایشی چیکا مدل 360,2330000,https://www.digikala.com/product/dkp-713373/استند لوازم آرایشی چیکا مدل 360,713373,6484
9,استند لوازم آرایشی اترنال بلومز مدل Royal Box,1700000,https://www.digikala.com/product/dkp-1735920/استند لوازم آرایشی اترنال بلومز مدل Royal Box,1735920,6484
10,استند لوازم آرایشی مدل TH11,698400,https://www.digikala.com/product/dkp-10093763/استند لوازم آرایشی مدل TH11,10093763,6484
11,ست براش مدل 70525 مجموعه 32 عددی,3990000,https://www.digikala.com/product/dkp-879709/ست براش مدل 70525 مجموعه 32 عددی,879709,6484
12,پیلینگ صورت مدل AK93i,105000,https://www.digikala.com/product/dkp-3305270/پیلینگ صورت مدل AK93i,3305270,6484
13,برس آرایشی مدل براش یونیکورن پری دریایی مویی و بسیار نرم مجموعه 4 عددی,375000,https://www.digikala.com/product/dkp-8947660/برس آرایشی مدل براش یونیکورن پری دریایی مویی و بسیار نرم مجموعه 4 عددی,8947660,6484
14,ست برس آرایشی هلو کیتی مدل 7MP بسته 7 عددی,479000,https://www.digikala.com/product/dkp-1996359/ست برس آرایشی هلو کیتی مدل 7MP بسته 7 عددی,1996359,6484
15,استند لوازم آرایشی مدل 475529783,1900000,https://www.digikala.com/product/dkp-999591/استند لوازم آرایشی مدل 475529783,999591,6484
