,name,price,url,id,category_id
0,لباس خواب زنانه مدل سرهمی بدون فاق کد L038,1400000,https://www.digikala.com/product/dkp-9851178/لباس خواب زنانه مدل سرهمی بدون فاق کد L038,9851178,9496
1,لباس خواب زنانه مدل زنبوری کد 20,1300000,https://www.digikala.com/product/dkp-9539759/لباس خواب زنانه مدل زنبوری کد 20,9539759,9496
2,لباس خواب زنانه مدل بادی کد 03,1300000,https://www.digikala.com/product/dkp-3244179/لباس خواب زنانه مدل بادی کد 03,3244179,9496
3,لباس خواب زنانه کد T-901-10,1040000,https://www.digikala.com/product/dkp-3292196/لباس خواب زنانه کد T-901-10,3292196,9496
4,لباس خواب زنانه تویین کد T-820-42,9792000,https://www.digikala.com/product/dkp-4928936/لباس خواب زنانه تویین کد T-820-42,4928936,9496
5,لباس خواب زنانه مدل Prenses-Z 07,810000,https://www.digikala.com/product/dkp-2084418/لباس خواب زنانه مدل Prenses-Z 07,2084418,9496
6,لباس خواب زنانه مدل گیپور رنگ مشکی,755000,https://www.digikala.com/product/dkp-8028546/لباس خواب زنانه مدل گیپور رنگ مشکی,8028546,9496
7,لباس خواب زنانه فیتن فرخ زادی مدل 3685-509 رنگ مشکی,1942000,https://www.digikala.com/product/dkp-10389158/لباس خواب زنانه فیتن فرخ زادی مدل 3685-509 رنگ مشکی,10389158,9496
8,لباس خواب زنانه تویین کد T-800-04,6336000,https://www.digikala.com/product/dkp-4781168/لباس خواب زنانه تویین کد T-800-04,4781168,9496
9,لباس خواب زنانه ماییلدا مدل 3684-5154 رنگ قرمز,4490000,https://www.digikala.com/product/dkp-10545282/لباس خواب زنانه ماییلدا مدل 3684-5154 رنگ قرمز,10545282,9496
10,لباس خواب زنانه تویین مدل T-840-03,2664000,https://www.digikala.com/product/dkp-5021328/لباس خواب زنانه تویین مدل T-840-03,5021328,9496
11,لباس خواب زنانه شیک فام مدل TH1451 رنگ مشکی,340000,https://www.digikala.com/product/dkp-8264217/لباس خواب زنانه شیک فام مدل TH1451 رنگ مشکی,8264217,9496
12,لباس خواب زنانه کد T-901-02,1190000,https://www.digikala.com/product/dkp-2506067/لباس خواب زنانه کد T-901-02,2506067,9496
13,لباس خواب زنانه ان بی بی مدل PZ-6E-6H,7330000,https://www.digikala.com/product/dkp-9079678/لباس خواب زنانه ان بی بی مدل PZ-6E-6H,9079678,9496
14,لباس خواب زنانه مدل 136,730000,https://www.digikala.com/product/dkp-4149122/لباس خواب زنانه مدل 136,4149122,9496
15,لباس خواب زنانه تویین کد T-731-03,9504000,https://www.digikala.com/product/dkp-4895810/لباس خواب زنانه تویین کد T-731-03,4895810,9496
