,name,price,url,id,category_id
0,هدفون بی سیم مدل K77,6490000,https://www.digikala.com/product/dkp-11679069/هدفون بی سیم مدل K77,11679069,211
1,هندزفری بلوتوثی مدل inpods 12,1390000,https://www.digikala.com/product/dkp-5086666/هندزفری بلوتوثی مدل inpods 12,5086666,211
2,هدفون بلوتوثی کیو سی وای مدل T13 TWS,6300000,https://www.digikala.com/product/dkp-5856710/هدفون بلوتوثی کیو سی وای مدل T13 TWS,5856710,211
3,هدفون بلوتوثی سامسونگ مدل Galaxy Buds2 Pro,44390000,https://www.digikala.com/product/dkp-9188766/هدفون بلوتوثی سامسونگ مدل Galaxy Buds2 Pro,9188766,211
4,هدفون بلوتوثی مدل گربه ای,2100000,https://www.digikala.com/product/dkp-9362922/هدفون بلوتوثی مدل گربه ای,9362922,211
5,هدفون بی سیم اپل مدل AirPods Pro 2nd Generation همراه با محفظه شارژ,104990000,https://www.digikala.com/product/dkp-9422469/هدفون بی سیم اپل مدل AirPods Pro 2nd Generation همراه با محفظه شارژ,9422469,211
6,هندزفری بلوتوثی مدل M10,1650000,https://www.digikala.com/product/dkp-6408043/هندزفری بلوتوثی مدل M10,6408043,211
7,هندزفری بی سیم مدل ایرپاد پرو 2084,3400000,https://www.digikala.com/product/dkp-11038763/هندزفری بی سیم مدل ایرپاد پرو 2084,11038763,211
8,هندزفری بلوتوثی مدل  BTH-F9-5,1780000,https://www.digikala.com/product/dkp-7605430/هندزفری بلوتوثی مدل  BTH-F9-5,7605430,211
9,هدفون بی سیم ریمکس مدل AirPods Pro 2nd ANC به همراه  محفظه شارژ و بند,16005000,https://www.digikala.com/product/dkp-11690772/هدفون بی سیم ریمکس مدل AirPods Pro 2nd ANC به همراه  محفظه شارژ و بند,11690772,211
10,هدفون بی‌ سیم هایلو مدل T15,6490000,https://www.digikala.com/product/dkp-3021400/هدفون بی‌ سیم هایلو مدل T15,3021400,211
11,هدفون بلوتوثی کیو سی وای مدل T13 ANC,7580000,https://www.digikala.com/product/dkp-9350111/هدفون بلوتوثی کیو سی وای مدل T13 ANC,9350111,211
12,هدفون بلوتوثی هایلو مدل W1,12090000,https://www.digikala.com/product/dkp-5747810/هدفون بلوتوثی هایلو مدل W1,5747810,211
13,هندزفری بلوتوثی مدل A40 PRO,9990000,https://www.digikala.com/product/dkp-9115941/هندزفری بلوتوثی مدل A40 PRO,9115941,211
14,هدفون بی سیم سامسونگ مدل Galaxy Buds 2,33900000,https://www.digikala.com/product/dkp-6080200/هدفون بی سیم سامسونگ مدل Galaxy Buds 2,6080200,211
15,هدفون بی سیم مدل K55,3680000,https://www.digikala.com/product/dkp-5013379/هدفون بی سیم مدل K55,5013379,211
