,name,price,url,id,category_id
0,هدفون بی سیم مدل K77,6490000,https://www.digikala.com/product/dkp-11679069/هدفون بی سیم مدل K77,11679069,211
1,هندزفری بلوتوثی مدل inpods 12,1290000,https://www.digikala.com/product/dkp-5086666/هندزفری بلوتوثی مدل inpods 12,5086666,211
2,هدفون بی سیم مدل ENC M46,7990000,https://www.digikala.com/product/dkp-11857066/هدفون بی سیم مدل ENC M46,11857066,211
3,هدفون بلوتوثی سامسونگ مدل Galaxy Buds2 Pro,45500000,https://www.digikala.com/product/dkp-9188766/هدفون بلوتوثی سامسونگ مدل Galaxy Buds2 Pro,9188766,211
4,هدفون بلوتوثی مدل گربه ای,2250000,https://www.digikala.com/product/dkp-9362922/هدفون بلوتوثی مدل گربه ای,9362922,211
5,هندزفری بلوتوثی مدل M10,1640000,https://www.digikala.com/product/dkp-6408043/هندزفری بلوتوثی مدل M10,6408043,211
6,هدفون بی سیم اپل مدل AirPods Pro 2nd Generation همراه با محفظه شارژ,107150000,https://www.digikala.com/product/dkp-9422469/هدفون بی سیم اپل مدل AirPods Pro 2nd Generation همراه با محفظه شارژ,9422469,211
7,هدفون بی سیم ریمکس مدل AirPods Pro 2nd ANC به همراه  محفظه شارژ و بند,13500000,https://www.digikala.com/product/dkp-11690772/هدفون بی سیم ریمکس مدل AirPods Pro 2nd ANC به همراه  محفظه شارژ و بند,11690772,211
8,هندزفری بلوتوثی مدل  BTH-F9-5,1820000,https://www.digikala.com/product/dkp-7605430/هندزفری بلوتوثی مدل  BTH-F9-5,7605430,211
9,هدفون بلوتوثی کیو سی وای مدل T13 TWS,6150000,https://www.digikala.com/product/dkp-5856710/هدفون بلوتوثی کیو سی وای مدل T13 TWS,5856710,211
10,هندزفری بلوتوثی مدل A40 PRO,9990000,https://www.digikala.com/product/dkp-9115941/هندزفری بلوتوثی مدل A40 PRO,9115941,211
11,هندزفری مدل KA-175 به همراه کیف هندزفری,2275000,https://www.digikala.com/product/dkp-11646360/هندزفری مدل KA-175 به همراه کیف هندزفری,11646360,211
12,هدفون بلوتوثی هایلو مدل W1,11850000,https://www.digikala.com/product/dkp-5747810/هدفون بلوتوثی هایلو مدل W1,5747810,211
13,هدفون بی سیم سامسونگ مدل Galaxy Buds 2,31990000,https://www.digikala.com/product/dkp-6080200/هدفون بی سیم سامسونگ مدل Galaxy Buds 2,6080200,211
14,هدفون بی سیم مدل K55,3797000,https://www.digikala.com/product/dkp-5013379/هدفون بی سیم مدل K55,5013379,211
15,هدفون بی‌ سیم هایلو مدل T15,6490000,https://www.digikala.com/product/dkp-3021400/هدفون بی‌ سیم هایلو مدل T15,3021400,211
16,هدفون بی‌ سیم اپل مدل AirPods New Generation,56800000,https://www.digikala.com/product/dkp-1572417/هدفون بی‌ سیم اپل مدل AirPods New Generation,1572417,211
