,name,price,url,id,category_id
0,اسپیکر بلوتوثی مدل GTS-1360,1700000,https://www.digikala.com/product/dkp-6522040/اسپیکر بلوتوثی مدل GTS-1360,6522040,25
1,اسپیکر بلوتوثی قابل حمل مدل KTS-1296,6255100,https://www.digikala.com/product/dkp-5783231/اسپیکر بلوتوثی قابل حمل مدل KTS-1296,5783231,25
2,اسپیکر دسکتاپ اونیکوما مدل G6,9200000,https://www.digikala.com/product/dkp-7052045/اسپیکر دسکتاپ اونیکوما مدل G6,7052045,25
3,اسپیکر بلوتوثی قابل حمل گریت نایس مدل GTS-1345,1458200,https://www.digikala.com/product/dkp-6999496/اسپیکر بلوتوثی قابل حمل گریت نایس مدل GTS-1345,6999496,25
4,اسپیکر قابل حمل کلومن مدل K-S110,6580000,https://www.digikala.com/product/dkp-8660112/اسپیکر قابل حمل کلومن مدل K-S110,8660112,25
5,اسپیکر بلوتوثی قابل حمل مدل WS-887,1050000,https://www.digikala.com/product/dkp-681506/اسپیکر بلوتوثی قابل حمل مدل WS-887,681506,25
6,اسپیکر بلوتوثی قابل حمل جی بی ال مدل Party Box 310,254990000,https://www.digikala.com/product/dkp-3557967/اسپیکر بلوتوثی قابل حمل جی بی ال مدل Party Box 310,3557967,25
7,اسپیکر بلوتوثی قابل حمل مدل KTX-1526,3747200,https://www.digikala.com/product/dkp-6870914/اسپیکر بلوتوثی قابل حمل مدل KTX-1526,6870914,25
8,اسپیکر بلوتوثی جی بی ال مدل charge 5,61000000,https://www.digikala.com/product/dkp-5294981/اسپیکر بلوتوثی جی بی ال مدل charge 5,5294981,25
9,اسپیکر بلوتوثی قابل حمل جی بی ال مدل PARTYBOX 110,166300000,https://www.digikala.com/product/dkp-5987991/اسپیکر بلوتوثی قابل حمل جی بی ال مدل PARTYBOX 110,5987991,25
10,اسپیکر سقفی مدل لامپ چراغدار,1984900,https://www.digikala.com/product/dkp-9479786/اسپیکر سقفی مدل لامپ چراغدار,9479786,25
11,اسپیکر بلوتوثی لیتو مدل PARTY PLUS 400,40550000,https://www.digikala.com/product/dkp-9265031/اسپیکر بلوتوثی لیتو مدل PARTY PLUS 400,9265031,25
12,اسپیکر بلوتوثی قابل حمل جی بی ال مدل PARTY BOX 710,350170000,https://www.digikala.com/product/dkp-7013034/اسپیکر بلوتوثی قابل حمل جی بی ال مدل PARTY BOX 710,7013034,25
13,اسپیکر بلوتوثی قابل حمل شیائومی مدل Mini Compact 2,4518600,https://www.digikala.com/product/dkp-1722839/اسپیکر بلوتوثی قابل حمل شیائومی مدل Mini Compact 2,1722839,25
14,اسپیکر بلوتوثی هارمن کاردن مدل Aura Studio 3,119950000,https://www.digikala.com/product/dkp-3296717/اسپیکر بلوتوثی هارمن کاردن مدل Aura Studio 3,3296717,25
15, اسپیکر بلوتوثی قابل حمل مدل TG113,1780000,https://www.digikala.com/product/dkp-1457174/ اسپیکر بلوتوثی قابل حمل مدل TG113,1457174,25
