name,price,url
سری شارژر آیفون 13 پرومکس (اصلی),"۱,۱۱۱,۱۱۱ تومان",https://divar.ir/v/AZkGJ2pJ
اپل iPhone 7 با حافظهٔ ۱۲۸ گیگابایت,"۵,۰۰۰,۰۰۰ تومان",https://divar.ir/v/AZkCpeCG
دو عدد قاب ایفون ۱۳ پرومکس,"۷۷۰,۰۰۰ تومان",https://divar.ir/v/AZQ2wpk4
اپل iPhone 12 Pro Max با حافظهٔ ۵۱۲ گیگابایت,"۶۰,۰۰۰,۰۰۰ تومان",https://divar.ir/v/AZkC5iwS
اپل iPhone 12 با حافظهٔ ۱۲۸ گیگابایت,"۳۰,۰۰۰,۰۰۰ تومان",https://divar.ir/v/AZkCZZ6N
اپل iPhone 7 Plus با حافظهٔ ۲۵۶ گیگابایت,"۱۰,۰۰۰,۰۰۰ تومان",https://divar.ir/v/AZk-o4W-
اپل iPhone 13 Pro Max با حافظهٔ ۲۵۶ گیگابایت,"۵,۵۰۰,۰۰۰ تومان",https://divar.ir/v/AZk64wlf
اپل iPhone XS Max با حافظهٔ ۲۵۶ گیگابایت,"۲۰,۰۰۰,۰۰۰ تومان",https://divar.ir/v/AZk2o-Xn
اپلiPhone 13 Pro Maxحافظه۲۵۶ گیگابایت لازرورقی,"۸۰,۰۰۰,۰۰۰ تومان",https://divar.ir/v/AZAa-vlZ
اپل iPhone 12 با حافظهٔ ۱۲۸ گیگابایت,"۲۷,۰۰۰,۰۰۰ تومان",https://divar.ir/v/AZk2oTKi
اپل iPhone 6 با حافظهٔ ۱۶ گیگابایت,"۲,۵۰۰,۰۰۰ تومان",https://divar.ir/v/AZk2INgP
ایرپاد touch tws5,"۳۸۰,۰۰۰ تومان",https://divar.ir/v/wYIC3F-_
اپل آیفون 14 پرو مکس با حافظهٔ ۲۵۶ گیگابایت,"۵۹,۵۰۰,۰۰۰ تومان",https://divar.ir/v/AZkuIROu
اپل iPhone 12 Pro Max با حافظهٔ ۲۵۶ گیگابایت,"۳۸,۰۰۰,۰۰۰ تومان",https://divar.ir/v/AZkuoOW9
اپل iPhone 12 Pro با حافظهٔ ۲۵۶ گیگابایت,"۴۱,۰۰۰,۰۰۰ تومان",https://divar.ir/v/AZYeZeLC
اپل iPhone 6s با حافظهٔ ۶۴ گیگابایت,"۴,۱۰۰,۰۰۰ تومان",https://divar.ir/v/AZkq41RY
اپل iPhone XR با حافظهٔ ۱۲۸ گیگابایت,"۱۷,۰۰۰,۰۰۰ تومان",https://divar.ir/v/AZkqI0Re
اپل iPhone 6s,"۱,۰۰۰,۰۰۰ تومان",https://divar.ir/v/AZkq4k7S
اپل iPhone 11 Pro,"۲۸,۵۰۰,۰۰۰ تومان",https://divar.ir/v/AZkqYSKk
قاب آیفون ۱۳ ،نو,"۱۲۰,۰۰۰ تومان",https://divar.ir/v/AZkqIP1Y
iphone 11promax.256zaپک‌اصلی,"۲۸,۵۰۰,۰۰۰",https://www.sheypoor.com/v/iphone-11promax-256zaپک-اصلی-427534687.html
Iphone 13promax,"۶۹,۰۰۰,۰۰۰",https://www.sheypoor.com/v/iphone-13promax-428141091.html
iphone 12 pro,"۳۰,۰۰۰,۰۰۰",https://www.sheypoor.com/v/iphone-12-pro-428140128.html
64 iPhone 11 Pro max,"۲۹,۵۰۰,۰۰۰",https://www.sheypoor.com/v/64-iphone-11-pro-max-428139109.html
iphone 12 سفید,"۳۲,۰۰۰,۰۰۰",https://www.sheypoor.com/v/iphone-12-سفید-428138607.html
iphone 12 pro,"۳۷,۵۰۰,۰۰۰",https://www.sheypoor.com/v/iphone-12-pro-428138442.html
